frame,card1Name,card1Label,card2Name,card2Label,card3Name,card3Label,card4Name,card4Label,cardPlayedName,cardPlayedLabel,slotPlayed,elixir,predicted_cardPlayed,y_cardPlayed,y_elixirConsumed,0,predicted_elixirConsumed
00255,Tornado,100.0,,,Mega Minion,64.0,Barbarian Barrel,6.0,,,,6,False,False,,,
00270,Tornado,100.0,,,Mega Minion,64.0,Barbarian Barrel,6.0,,,,6,False,False,,,
00285,Tornado,100.0,Golem,47.0,Mega Minion,64.0,Barbarian Barrel,6.0,,,2.0,7,True,False,,,
00300,Tornado,100.0,Golem,47.0,Mega Minion,64.0,Barbarian Barrel,6.0,,,,7,False,False,,,
00315,Tornado,100.0,Golem,47.0,Mega Minion,64.0,Barbarian Barrel,6.0,,,,7,False,False,,,
00330,Tornado,100.0,Golem,47.0,Mega Minion,64.0,Barbarian Barrel,6.0,,,,7,False,False,,,
00345,Tornado,100.0,Golem,47.0,Mega Minion,64.0,Barbarian Barrel,6.0,,,,7,False,False,,,
00360,Tornado,100.0,Golem,47.0,Mega Minion,64.0,Barbarian Barrel,6.0,,,,7,False,False,,,
00375,Tornado,100.0,Golem,47.0,Mega Minion,64.0,Barbarian Barrel,6.0,,,,8,False,False,,,
00390,Tornado,100.0,Golem,47.0,Mega Minion,64.0,Barbarian Barrel,6.0,,,,8,False,False,,,
00405,Tornado,100.0,Golem,47.0,Mega Minion,64.0,Barbarian Barrel,6.0,,,,8,False,False,,,
00420,Tornado,100.0,Golem,47.0,Mega Minion,64.0,Barbarian Barrel,6.0,,,,8,False,False,,,
00435,Tornado,100.0,Golem,47.0,Mega Minion,64.0,Barbarian Barrel,6.0,,,,8,False,False,,,
00450,Tornado,100.0,Golem,47.0,Mega Minion,64.0,Barbarian Barrel,6.0,,,,9,False,False,,,
00465,Tornado,100.0,Golem,47.0,Mega Minion,64.0,Barbarian Barrel,6.0,,,,9,False,False,,,
00480,Tornado,100.0,Golem,47.0,Mega Minion,64.0,Barbarian Barrel,6.0,,,,9,False,False,,,
00495,Tornado,100.0,Golem,47.0,Mega Minion,64.0,Barbarian Barrel,6.0,,,,9,False,False,,,
00510,Tornado,100.0,Golem,47.0,Mega Minion,64.0,Barbarian Barrel,6.0,,,,9,False,False,,,
00525,Tornado,100.0,Golem,47.0,Mega Minion,64.0,Barbarian Barrel,6.0,,,,9,False,False,,,
00540,Tornado,100.0,Golem,47.0,Mega Minion,64.0,Barbarian Barrel,6.0,,,,10,False,False,,,
00555,Tornado,100.0,Golem,47.0,Mega Minion,64.0,Barbarian Barrel,6.0,,,,10,False,False,,,
00570,Tornado,100.0,Golem,47.0,Mega Minion,64.0,Barbarian Barrel,6.0,,,,10,False,False,,,
00585,Tornado,100.0,Golem,47.0,Mega Minion,64.0,Barbarian Barrel,6.0,,,,10,False,False,,,
00600,Tornado,100.0,Golem,47.0,Mega Minion,64.0,Barbarian Barrel,6.0,,,,10,False,False,,,
00615,Tornado,100.0,Golem,47.0,Mega Minion,64.0,Barbarian Barrel,6.0,,,,10,False,False,,,
00630,Tornado,100.0,Golem,47.0,Mega Minion,64.0,Barbarian Barrel,6.0,,,,10,False,False,,,
00645,Tornado,100.0,Golem,47.0,Mega Minion,64.0,Barbarian Barrel,6.0,,,,10,False,False,,,
00660,Tornado,100.0,Golem,47.0,Mega Minion,64.0,Barbarian Barrel,6.0,,,,10,False,False,,,
00675,Tornado,100.0,Golem,47.0,Mega Minion,64.0,Barbarian Barrel,6.0,,,,10,False,False,,,
00690,Tornado,100.0,Golem,47.0,Mega Minion,64.0,Barbarian Barrel,6.0,,,,10,False,False,,,
00705,Tornado,100.0,Golem,47.0,Mega Minion,64.0,Barbarian Barrel,6.0,,,,10,False,False,,,
00720,Tornado,100.0,Golem,47.0,Mega Minion,64.0,Barbarian Barrel,6.0,,,,10,False,False,,,
