frame,card1Name,card1Label,card2Name,card2Label,card3Name,card3Label,card4Name,card4Label,cardPlayedName,cardPlayedLabel,slotPlayed,elixir,predicted_cardPlayed,y_cardPlayed,y_elixirConsumed
00660,Ram Rider,82.0,Bandit,5.0,Royal Ghost,86.0,Electro Wizard,24.0,,,,10,,,
00675,Ram Rider,82.0,Bandit,5.0,Royal Ghost,86.0,Electro Wizard,24.0,,,,10,,,
00690,Ram Rider,82.0,Bandit,5.0,Royal Ghost,86.0,Electro Wizard,24.0,,,,10,,,
00705,Ram Rider,82.0,Bandit,5.0,Royal Ghost,86.0,Electro Wizard,24.0,,,,10,,,
00720,Ram Rider,82.0,Bandit,5.0,Royal Ghost,86.0,Electro Wizard,24.0,,,,10,,,
00735,Ram Rider,82.0,Bandit,5.0,Cannon Cart,16.0,Electro Wizard,24.0,,,,7,,,
00750,Ram Rider,82.0,Bandit,5.0,Cannon Cart,16.0,Electro Wizard,24.0,,,,7,,,
00765,Ram Rider,82.0,Bandit,5.0,Cannon Cart,16.0,Electro Wizard,24.0,,,,7,,,
00780,Ram Rider,82.0,Bandit,5.0,Cannon Cart,16.0,Electro Wizard,24.0,,,,7,,,
00795,Ram Rider,82.0,Bandit,5.0,Cannon Cart,16.0,Electro Wizard,24.0,,,,7,,,
00810,Ram Rider,82.0,Bandit,5.0,Cannon Cart,16.0,Electro Wizard,24.0,,,,8,,,
00825,Ram Rider,82.0,Bandit,5.0,Cannon Cart,16.0,Electro Wizard,24.0,,,,8,,,
00840,Ram Rider,82.0,Bandit,5.0,Cannon Cart,16.0,Electro Wizard,24.0,,,,8,,,
00855,Ram Rider,82.0,Bandit,5.0,Cannon Cart,16.0,Electro Wizard,24.0,,,,8,,,
00870,Ram Rider,82.0,Bandit,5.0,Cannon Cart,16.0,Electro Wizard,24.0,,,,8,,,
00885,Ram Rider,82.0,Bandit,5.0,Cannon Cart,16.0,Electro Wizard,24.0,,,,8,,,
00900,Ram Rider,82.0,Prince,79.0,Cannon Cart,16.0,Electro Wizard,24.0,,,,6,,,
00915,Ram Rider,82.0,Prince,79.0,Cannon Cart,16.0,Electro Wizard,24.0,,,,6,,,
00930,Ram Rider,82.0,Prince,79.0,Cannon Cart,16.0,Electro Wizard,24.0,,,,6,,,
00945,Ram Rider,82.0,Prince,79.0,Cannon Cart,16.0,Electro Wizard,24.0,,,,6,,,
00960,Ram Rider,82.0,Prince,79.0,Cannon Cart,16.0,Electro Wizard,24.0,,,,6,,,
00975,Ram Rider,82.0,Prince,79.0,Cannon Cart,16.0,Electro Wizard,24.0,,,,7,,,
00990,Ram Rider,82.0,Prince,79.0,Cannon Cart,16.0,Electro Wizard,24.0,,,,7,,,
01005,Ram Rider,82.0,Prince,79.0,Cannon Cart,16.0,Electro Wizard,24.0,,,,7,,,
01020,Ram Rider,82.0,Prince,79.0,Cannon Cart,16.0,Electro Wizard,24.0,,,,7,,,
01035,Ram Rider,82.0,Prince,79.0,Cannon Cart,16.0,Electro Wizard,24.0,,,,7,,,
01050,Ram Rider,82.0,Prince,79.0,Cannon Cart,16.0,Electro Wizard,24.0,,,,7,,,
01065,Ram Rider,82.0,Prince,79.0,Cannon Cart,16.0,Electro Wizard,24.0,,,,8,,,
01080,Ram Rider,82.0,Prince,79.0,Cannon Cart,16.0,Electro Wizard,24.0,,,,8,,,
01095,Ram Rider,82.0,Prince,79.0,Cannon Cart,16.0,Electro Wizard,24.0,,,,8,,,
01110,Ram Rider,82.0,Prince,79.0,Cannon Cart,16.0,Electro Wizard,24.0,,,,8,,,
01125,Ram Rider,82.0,Prince,79.0,Cannon Cart,16.0,Electro Wizard,24.0,,,,8,,,
01140,Ram Rider,82.0,Prince,79.0,Cannon Cart,16.0,Electro Wizard,24.0,,,,8,,,
01155,Ram Rider,82.0,Prince,79.0,Cannon Cart,16.0,Electro Wizard,24.0,,,,9,,,
01170,Ram Rider,82.0,Prince,79.0,Cannon Cart,16.0,Electro Wizard,24.0,,,,9,,,
01185,Ram Rider,82.0,Prince,79.0,Cannon Cart,16.0,Electro Wizard,24.0,,,,9,,,
01200,Ram Rider,82.0,Prince,79.0,Cannon Cart,16.0,Electro Wizard,24.0,,,,9,,,
01215,Ram Rider,82.0,Prince,79.0,Cannon Cart,16.0,Electro Wizard,24.0,,,,9,,,
01230,Ram Rider,82.0,Prince,79.0,Cannon Cart,16.0,Electro Wizard,24.0,,,,10,,,
01245,Ram Rider,82.0,Prince,79.0,Cannon Cart,16.0,Electro Wizard,24.0,,,,10,,,
01260,Ram Rider,82.0,Prince,79.0,Cannon Cart,16.0,Electro Wizard,24.0,,,,10,,,
01275,Ram Rider,82.0,Prince,79.0,Cannon Cart,16.0,Electro Wizard,24.0,,,,10,,,
01290,Ram Rider,82.0,Barbarian Barrel,6.0,Cannon Cart,16.0,Electro Wizard,24.0,,,,5,,,
01305,Ram Rider,82.0,Barbarian Barrel,6.0,Cannon Cart,16.0,Electro Wizard,24.0,,,,5,,,
01320,Ram Rider,82.0,Barbarian Barrel,6.0,Cannon Cart,16.0,Electro Wizard,24.0,,,,5,,,
01335,Ram Rider,82.0,Barbarian Barrel,6.0,Cannon Cart,16.0,Electro Wizard,24.0,,,,5,,,
01350,Ram Rider,82.0,Barbarian Barrel,6.0,Cannon Cart,16.0,Electro Wizard,24.0,,,,5,,,
01365,Ram Rider,82.0,Barbarian Barrel,6.0,Cannon Cart,16.0,Electro Wizard,24.0,,,,6,,,
01380,Ram Rider,82.0,Barbarian Barrel,6.0,Cannon Cart,16.0,Electro Wizard,24.0,,,,6,,,
01395,Ram Rider,82.0,Barbarian Barrel,6.0,Cannon Cart,16.0,Electro Wizard,24.0,,,,6,,,
01410,Ram Rider,82.0,Barbarian Barrel,6.0,Cannon Cart,16.0,Electro Wizard,24.0,,,,6,,,
01425,Ram Rider,82.0,Barbarian Barrel,6.0,Cannon Cart,16.0,Electro Wizard,24.0,,,,6,,,
01440,Ram Rider,82.0,Barbarian Barrel,6.0,Cannon Cart,16.0,Electro Wizard,24.0,,,,6,,,
01455,Ram Rider,82.0,Barbarian Barrel,6.0,Cannon Cart,16.0,Electro Wizard,24.0,,,,7,,,
01470,Ram Rider,82.0,Barbarian Barrel,6.0,Cannon Cart,16.0,Electro Wizard,24.0,,,,7,,,
01485,Ram Rider,82.0,Barbarian Barrel,6.0,Cannon Cart,16.0,Electro Wizard,24.0,,,,7,,,
01500,Ram Rider,82.0,Barbarian Barrel,6.0,Cannon Cart,16.0,Electro Wizard,24.0,,,,7,,,
01515,Ram Rider,82.0,Barbarian Barrel,6.0,Cannon Cart,16.0,Electro Wizard,24.0,,,,7,,,
01530,Ram Rider,82.0,Barbarian Barrel,6.0,Cannon Cart,16.0,Electro Wizard,24.0,,,,8,,,
01545,Ram Rider,82.0,Barbarian Barrel,6.0,Cannon Cart,16.0,Electro Wizard,24.0,,,,8,,,
01560,Ram Rider,82.0,Barbarian Barrel,6.0,Cannon Cart,16.0,Electro Wizard,24.0,,,,8,,,
01575,Ram Rider,82.0,Barbarian Barrel,6.0,Cannon Cart,16.0,Electro Wizard,24.0,,,,8,,,
01590,Ram Rider,82.0,Barbarian Barrel,6.0,Cannon Cart,16.0,Electro Wizard,24.0,,,,8,,,
01605,Ram Rider,82.0,Barbarian Barrel,6.0,Cannon Cart,16.0,Electro Wizard,24.0,,,,8,,,
01620,Ram Rider,82.0,Barbarian Barrel,6.0,Cannon Cart,16.0,Electro Wizard,24.0,,,,9,,,
01635,Ram Rider,82.0,Barbarian Barrel,6.0,Cannon Cart,16.0,Electro Wizard,24.0,,,,9,,,
01650,Ram Rider,82.0,Barbarian Barrel,6.0,Cannon Cart,16.0,Electro Wizard,24.0,,,,9,,,
01665,Ram Rider,82.0,Barbarian Barrel,6.0,Cannon Cart,16.0,Electro Wizard,24.0,,,,9,,,
01680,Ram Rider,82.0,Barbarian Barrel,6.0,Cannon Cart,16.0,Electro Wizard,24.0,,,,9,,,
01695,Ram Rider,82.0,Null,75.0,Cannon Cart,16.0,Electro Wizard,24.0,,,,7,,,
01710,Ram Rider,82.0,Magic Archer,62.0,Cannon Cart,16.0,Electro Wizard,24.0,,,,8,,,
01725,Ram Rider,82.0,Magic Archer,62.0,Cannon Cart,16.0,Electro Wizard,24.0,,,,8,,,
01740,Ram Rider,82.0,Magic Archer,62.0,Cannon Cart,16.0,Electro Wizard,24.0,,,,8,,,
01755,Ram Rider,82.0,Magic Archer,62.0,Cannon Cart,16.0,Electro Wizard,24.0,,,,8,,,
01770,Ram Rider,82.0,Magic Archer,62.0,Cannon Cart,16.0,Electro Wizard,24.0,,,,8,,,
01785,Ram Rider,82.0,Magic Archer,62.0,Cannon Cart,16.0,Electro Wizard,24.0,,,,9,,,
01800,Ram Rider,82.0,Magic Archer,62.0,Cannon Cart,16.0,Electro Wizard,24.0,,,,9,,,
01815,Ram Rider,82.0,Magic Archer,62.0,Cannon Cart,16.0,Electro Wizard,24.0,,,,9,,,
01830,Ram Rider,82.0,Magic Archer,62.0,Cannon Cart,16.0,Electro Wizard,24.0,,,,9,,,
01845,Ram Rider,82.0,Magic Archer,62.0,Cannon Cart,16.0,Electro Wizard,24.0,,,,9,,,
01860,Ram Rider,82.0,Magic Archer,62.0,Cannon Cart,16.0,Electro Wizard,24.0,,,,9,,,
01875,Ram Rider,82.0,Magic Archer,62.0,Cannon Cart,16.0,Electro Wizard,24.0,,,,10,,,
01890,Ram Rider,82.0,Magic Archer,62.0,Cannon Cart,16.0,Electro Wizard,24.0,,,,10,,,
01905,Ram Rider,82.0,Magic Archer,62.0,Cannon Cart,16.0,Electro Wizard,24.0,,,,10,,,
01920,Ram Rider,82.0,Magic Archer,62.0,Cannon Cart,16.0,Electro Wizard,24.0,,,,10,,,
01935,Ram Rider,82.0,Magic Archer,62.0,Cannon Cart,16.0,Electro Wizard,24.0,,,,10,,,
01950,Ram Rider,82.0,Magic Archer,62.0,Cannon Cart,16.0,Electro Wizard,24.0,,,,10,,,
01965,Ram Rider,82.0,Magic Archer,62.0,Cannon Cart,16.0,Electro Wizard,24.0,,,,10,,,
01980,Ram Rider,82.0,Magic Archer,62.0,Cannon Cart,16.0,Electro Wizard,24.0,,,,10,,,
01995,Ram Rider,82.0,Magic Archer,62.0,Cannon Cart,16.0,Electro Wizard,24.0,,,,10,,,
02010,Ram Rider,82.0,Magic Archer,62.0,Cannon Cart,16.0,Electro Wizard,24.0,,,,10,,,
02025,Ram Rider,82.0,Magic Archer,62.0,Cannon Cart,16.0,Electro Wizard,24.0,,,,10,,,
02040,Ram Rider,82.0,Magic Archer,62.0,Cannon Cart,16.0,Electro Wizard,24.0,,,,10,,,
02055,Ram Rider,82.0,Magic Archer,62.0,Cannon Cart,16.0,Electro Wizard,24.0,,,,10,,,
02070,Ram Rider,82.0,Magic Archer,62.0,Cannon Cart,16.0,Electro Wizard,24.0,,,,10,,,
02085,Ram Rider,82.0,Magic Archer,62.0,Cannon Cart,16.0,Electro Wizard,24.0,,,,10,,,
02100,Ram Rider,82.0,Magic Archer,62.0,Cannon Cart,16.0,Electro Wizard,24.0,,,,10,,,
02115,Ram Rider,82.0,Magic Archer,62.0,Cannon Cart,16.0,Electro Wizard,24.0,,,,10,,,
02130,Ram Rider,82.0,Magic Archer,62.0,Cannon Cart,16.0,Electro Wizard,24.0,,,,10,,,
02145,Ram Rider,82.0,Magic Archer,62.0,Cannon Cart,16.0,Electro Wizard,24.0,,,,10,,,
02160,Ram Rider,82.0,Magic Archer,62.0,Cannon Cart,16.0,Electro Wizard,24.0,,,,10,,,
02175,Ram Rider,82.0,Magic Archer,62.0,Cannon Cart,16.0,Electro Wizard,24.0,,,,10,,,
02190,Ram Rider,82.0,Magic Archer,62.0,Cannon Cart,16.0,Electro Wizard,24.0,,,,10,,,
02205,Ram Rider,82.0,Magic Archer,62.0,Cannon Cart,16.0,Electro Wizard,24.0,,,,10,,,
02220,Ram Rider,82.0,Magic Archer,62.0,Cannon Cart,16.0,Electro Wizard,24.0,,,,10,,,
02235,Ram Rider,82.0,Magic Archer,62.0,Cannon Cart,16.0,Electro Wizard,24.0,,,,10,,,
02250,Ram Rider,82.0,Magic Archer,62.0,Cannon Cart,16.0,Electro Wizard,24.0,,,,10,,,
02265,Ram Rider,82.0,Royal Ghost,86.0,Cannon Cart,16.0,Electro Wizard,24.0,,,,6,,,
02280,Ram Rider,82.0,Royal Ghost,86.0,Cannon Cart,16.0,Electro Wizard,24.0,,,,6,,,
02295,Ram Rider,82.0,Royal Ghost,86.0,Cannon Cart,16.0,Electro Wizard,24.0,,,,6,,,
02310,Ram Rider,82.0,Royal Ghost,86.0,Cannon Cart,16.0,Electro Wizard,24.0,,,,6,,,
02325,Ram Rider,82.0,Royal Ghost,86.0,Cannon Cart,16.0,Electro Wizard,24.0,,,,6,,,
02340,Ram Rider,82.0,Royal Ghost,86.0,Cannon Cart,16.0,Electro Wizard,24.0,,,,6,,,
02355,Ram Rider,82.0,Royal Ghost,86.0,Cannon Cart,16.0,Electro Wizard,24.0,,,,7,,,
02370,Ram Rider,82.0,Royal Ghost,86.0,Cannon Cart,16.0,Electro Wizard,24.0,,,,7,,,
02385,Ram Rider,82.0,Royal Ghost,86.0,Cannon Cart,16.0,Electro Wizard,24.0,,,,7,,,
02400,Ram Rider,82.0,Royal Ghost,86.0,Cannon Cart,16.0,Electro Wizard,24.0,,,,7,,,
02415,Ram Rider,82.0,Royal Ghost,86.0,Cannon Cart,16.0,Electro Wizard,24.0,,,,7,,,
02430,Ram Rider,82.0,Royal Ghost,86.0,Cannon Cart,16.0,Electro Wizard,24.0,,,,8,,,
02445,Ram Rider,82.0,Royal Ghost,86.0,Cannon Cart,16.0,Electro Wizard,24.0,,,,8,,,
02460,Ram Rider,82.0,Royal Ghost,86.0,Cannon Cart,16.0,Electro Wizard,24.0,,,,8,,,
02475,Ram Rider,82.0,Royal Ghost,86.0,Cannon Cart,16.0,Electro Wizard,24.0,,,,8,,,
02490,Ram Rider,82.0,Royal Ghost,86.0,Cannon Cart,16.0,Electro Wizard,24.0,,,,8,,,
02505,Ram Rider,82.0,Royal Ghost,86.0,Cannon Cart,16.0,Electro Wizard,24.0,,,,8,,,
02520,Ram Rider,82.0,Royal Ghost,86.0,Cannon Cart,16.0,Electro Wizard,24.0,,,,9,,,
02535,Ram Rider,82.0,Royal Ghost,86.0,Cannon Cart,16.0,Electro Wizard,24.0,,,,9,,,
02550,Ram Rider,82.0,Royal Ghost,86.0,Cannon Cart,16.0,Electro Wizard,24.0,,,,9,,,
02565,Ram Rider,82.0,Bandit,5.0,Cannon Cart,16.0,Electro Wizard,24.0,,,,6,,,
02580,Ram Rider,82.0,Bandit,5.0,Cannon Cart,16.0,Electro Wizard,24.0,,,,6,,,
02595,Ram Rider,82.0,Bandit,5.0,Cannon Cart,16.0,Electro Wizard,24.0,,,,7,,,
02610,Ram Rider,82.0,Bandit,5.0,Cannon Cart,16.0,Electro Wizard,24.0,,,,7,,,
02625,Ram Rider,82.0,Bandit,5.0,Cannon Cart,16.0,Electro Wizard,24.0,,,,7,,,
02640,Ram Rider,82.0,Bandit,5.0,Cannon Cart,16.0,Electro Wizard,24.0,,,,7,,,
02655,Ram Rider,82.0,Bandit,5.0,Cannon Cart,16.0,Electro Wizard,24.0,,,,7,,,
02670,Ram Rider,82.0,Bandit,5.0,Cannon Cart,16.0,Electro Wizard,24.0,,,,7,,,
02685,Ram Rider,82.0,Bandit,5.0,Cannon Cart,16.0,Electro Wizard,24.0,,,,8,,,
02700,Ram Rider,82.0,Bandit,5.0,Cannon Cart,16.0,Electro Wizard,24.0,,,,8,,,
02715,Ram Rider,82.0,Bandit,5.0,Cannon Cart,16.0,Electro Wizard,24.0,,,,8,,,
02730,Ram Rider,82.0,Bandit,5.0,Cannon Cart,16.0,Electro Wizard,24.0,,,,8,,,
02745,Ram Rider,82.0,Bandit,5.0,Cannon Cart,16.0,Electro Wizard,24.0,,,,8,,,
02760,Ram Rider,82.0,Bandit,5.0,Cannon Cart,16.0,Electro Wizard,24.0,,,,8,,,
02775,Ram Rider,82.0,Bandit,5.0,Cannon Cart,16.0,Electro Wizard,24.0,,,,9,,,
02790,Ram Rider,82.0,Bandit,5.0,Cannon Cart,16.0,Electro Wizard,24.0,,,,9,,,
02805,Ram Rider,82.0,Bandit,5.0,Cannon Cart,16.0,Electro Wizard,24.0,,,,9,,,
02820,Ram Rider,82.0,Bandit,5.0,Cannon Cart,16.0,Electro Wizard,24.0,,,,9,,,
02835,Ram Rider,82.0,Bandit,5.0,Cannon Cart,16.0,Electro Wizard,24.0,,,,9,,,
02850,Ram Rider,82.0,Bandit,5.0,Cannon Cart,16.0,Electro Wizard,24.0,,,,10,,,
02865,Ram Rider,82.0,Bandit,5.0,Prince,79.0,Electro Wizard,24.0,,,,5,,,
02880,Ram Rider,82.0,Bandit,5.0,Prince,79.0,Electro Wizard,24.0,,,,5,,,
02895,Ram Rider,82.0,Bandit,5.0,Prince,79.0,Electro Wizard,24.0,,,,5,,,
02910,Ram Rider,82.0,Bandit,5.0,Prince,79.0,Electro Wizard,24.0,,,,5,,,
02925,Ram Rider,82.0,Bandit,5.0,Prince,79.0,Electro Wizard,24.0,,,,5,,,
02940,Ram Rider,82.0,Bandit,5.0,Prince,79.0,Electro Wizard,24.0,,,,6,,,
02955,Ram Rider,82.0,Bandit,5.0,Prince,79.0,Electro Wizard,24.0,,,,6,,,
02970,Ram Rider,82.0,Bandit,5.0,Prince,79.0,Electro Wizard,24.0,,,,6,,,
02985,Ram Rider,82.0,Bandit,5.0,Prince,79.0,Electro Wizard,24.0,,,,6,,,
03000,Ram Rider,82.0,Bandit,5.0,Prince,79.0,Electro Wizard,24.0,,,,6,,,
03015,Ram Rider,82.0,Bandit,5.0,Prince,79.0,Electro Wizard,24.0,,,,6,,,
03030,Ram Rider,82.0,Bandit,5.0,Prince,79.0,Electro Wizard,24.0,,,,7,,,
03045,Ram Rider,82.0,Bandit,5.0,Prince,79.0,Electro Wizard,24.0,,,,7,,,
03060,Ram Rider,82.0,Bandit,5.0,Prince,79.0,Electro Wizard,24.0,,,,7,,,
03075,Ram Rider,82.0,Bandit,5.0,Prince,79.0,Electro Wizard,24.0,,,,7,,,
03090,Ram Rider,82.0,Bandit,5.0,Prince,79.0,Electro Wizard,24.0,,,,7,,,
03105,Ram Rider,82.0,Bandit,5.0,Prince,79.0,Electro Wizard,24.0,,,,8,,,
03120,Ram Rider,82.0,Bandit,5.0,Prince,79.0,Electro Wizard,24.0,,,,8,,,
03135,Ram Rider,82.0,Bandit,5.0,Prince,79.0,Electro Wizard,24.0,,,,8,,,
03150,Ram Rider,82.0,Bandit,5.0,Prince,79.0,Electro Wizard,24.0,,,,8,,,
03165,Ram Rider,82.0,Bandit,5.0,Prince,79.0,Electro Wizard,24.0,,,,8,,,
03180,Ram Rider,82.0,Bandit,5.0,Prince,79.0,Electro Wizard,24.0,,,,8,,,
03195,Ram Rider,82.0,Bandit,5.0,Prince,79.0,Electro Wizard,24.0,,,,9,,,
03210,Ram Rider,82.0,Bandit,5.0,Prince,79.0,Electro Wizard,24.0,,,,9,,,
03225,Ram Rider,82.0,Bandit,5.0,Prince,79.0,Electro Wizard,24.0,,,,9,,,
03240,Ram Rider,82.0,Bandit,5.0,Prince,79.0,Electro Wizard,24.0,,,,9,,,
03255,Ram Rider,82.0,Bandit,5.0,Prince,79.0,Electro Wizard,24.0,,,,9,,,
03270,Ram Rider,82.0,Bandit,5.0,Prince,79.0,Electro Wizard,24.0,,,,9,,,
03285,Null,75.0,Bandit,5.0,Prince,79.0,Electro Wizard,24.0,,,,5,,,
03300,Barbarian Barrel,6.0,Bandit,5.0,Prince,79.0,Electro Wizard,24.0,,,,5,,,
03315,Barbarian Barrel,6.0,Null,75.0,,,,,,,,2,,,
03330,Barbarian Barrel,6.0,,,,,,,,,,2,,,
03345,Barbarian Barrel,6.0,,,,,Rocket,84.0,,,,2,,,
03360,Barbarian Barrel,6.0,,,,,,,,,,2,,,
03375,Barbarian Barrel,6.0,,,,,,,,,,3,,,
03390,Barbarian Barrel,6.0,,,,,,,,,,3,,,
03405,Barbarian Barrel,6.0,,,,,,,,,,3,,,
03420,Barbarian Barrel,6.0,,,,,,,,,,3,,,
03435,Barbarian Barrel,6.0,,,,,,,,,,3,,,
03450,Barbarian Barrel,6.0,Magic Archer,62.0,,,Electro Wizard,24.0,,,,4,,,
03465,Barbarian Barrel,6.0,Magic Archer,62.0,,,Electro Wizard,24.0,,,,4,,,
03480,Barbarian Barrel,6.0,Magic Archer,62.0,,,Electro Wizard,24.0,,,,4,,,
03495,Barbarian Barrel,6.0,Magic Archer,62.0,,,Electro Wizard,24.0,,,,4,,,
03510,Barbarian Barrel,6.0,Magic Archer,62.0,,,Electro Wizard,24.0,,,,4,,,
03525,Barbarian Barrel,6.0,Magic Archer,62.0,,,Electro Wizard,24.0,,,,4,,,
03540,Barbarian Barrel,6.0,Magic Archer,62.0,Prince,79.0,Electro Wizard,24.0,,,,5,,,
03555,Barbarian Barrel,6.0,Magic Archer,62.0,Prince,79.0,Electro Wizard,24.0,,,,5,,,
03570,Barbarian Barrel,6.0,Magic Archer,62.0,Prince,79.0,Electro Wizard,24.0,,,,5,,,
03585,Barbarian Barrel,6.0,Magic Archer,62.0,Prince,79.0,Electro Wizard,24.0,,,,5,,,
03600,Barbarian Barrel,6.0,Magic Archer,62.0,Prince,79.0,Electro Wizard,24.0,,,,5,,,
03615,Barbarian Barrel,6.0,Magic Archer,62.0,Prince,79.0,Electro Wizard,24.0,,,,5,,,
03630,Barbarian Barrel,6.0,Magic Archer,62.0,Prince,79.0,Electro Wizard,24.0,,,,6,,,
03645,Barbarian Barrel,6.0,Magic Archer,62.0,Prince,79.0,Electro Wizard,24.0,,,,6,,,
03660,Barbarian Barrel,6.0,Magic Archer,62.0,Prince,79.0,Electro Wizard,24.0,,,,6,,,
03675,Barbarian Barrel,6.0,Magic Archer,62.0,Prince,79.0,Electro Wizard,24.0,,,,6,,,
03690,Barbarian Barrel,6.0,Magic Archer,62.0,Prince,79.0,Electro Wizard,24.0,,,,6,,,
03705,Barbarian Barrel,6.0,Magic Archer,62.0,Prince,79.0,Electro Wizard,24.0,,,,7,,,
03720,Barbarian Barrel,6.0,Magic Archer,62.0,Prince,79.0,Electro Wizard,24.0,,,,7,,,
03735,Barbarian Barrel,6.0,Magic Archer,62.0,Prince,79.0,Electro Wizard,24.0,,,,7,,,
03750,Barbarian Barrel,6.0,Magic Archer,62.0,Prince,79.0,Electro Wizard,24.0,,,,7,,,
03765,Barbarian Barrel,6.0,Magic Archer,62.0,Prince,79.0,Electro Wizard,24.0,,,,7,,,
03780,Barbarian Barrel,6.0,Magic Archer,62.0,Prince,79.0,Electro Wizard,24.0,,,,7,,,
03795,Barbarian Barrel,6.0,Magic Archer,62.0,Prince,79.0,Electro Wizard,24.0,,,,8,,,
03810,Barbarian Barrel,6.0,Magic Archer,62.0,Prince,79.0,Electro Wizard,24.0,,,,8,,,
03825,Barbarian Barrel,6.0,Magic Archer,62.0,Prince,79.0,Electro Wizard,24.0,,,,8,,,
03840,Barbarian Barrel,6.0,Magic Archer,62.0,Prince,79.0,Electro Wizard,24.0,,,,9,,,
03855,Barbarian Barrel,6.0,Magic Archer,62.0,Prince,79.0,Electro Wizard,24.0,,,,9,,,
03870,Royal Ghost,86.0,Magic Archer,62.0,Prince,79.0,Electro Wizard,24.0,,,,8,,,
03885,Royal Ghost,86.0,Magic Archer,62.0,Prince,79.0,Electro Wizard,24.0,,,,8,,,
03900,Royal Ghost,86.0,Magic Archer,62.0,Prince,79.0,Electro Wizard,24.0,,,,8,,,
03915,Royal Ghost,86.0,Magic Archer,62.0,Prince,79.0,Electro Wizard,24.0,,,,9,,,
03930,Royal Ghost,86.0,Magic Archer,62.0,Prince,79.0,Electro Wizard,24.0,,,,9,,,
03945,Null,75.0,Magic Archer,62.0,Prince,79.0,Electro Wizard,24.0,,,,6,,,
03960,Cannon Cart,16.0,Magic Archer,62.0,Prince,79.0,Electro Wizard,24.0,,,,7,,,
03975,Cannon Cart,16.0,Magic Archer,62.0,Prince,79.0,Electro Wizard,24.0,,,,7,,,
03990,Cannon Cart,16.0,Magic Archer,62.0,Prince,79.0,Electro Wizard,24.0,,,,7,,,
04005,Cannon Cart,16.0,Magic Archer,62.0,Prince,79.0,Electro Wizard,24.0,,,,8,,,
04020,Cannon Cart,16.0,Magic Archer,62.0,Prince,79.0,Electro Wizard,24.0,,,,8,,,
04035,Cannon Cart,16.0,Magic Archer,62.0,Prince,79.0,Electro Wizard,24.0,,,,8,,,
04050,Cannon Cart,16.0,Magic Archer,62.0,Prince,79.0,Electro Wizard,24.0,,,,9,,,
04065,Cannon Cart,16.0,Magic Archer,62.0,Prince,79.0,Electro Wizard,24.0,,,,9,,,
04080,Cannon Cart,16.0,Magic Archer,62.0,Prince,79.0,Electro Wizard,24.0,,,,9,,,
04095,Cannon Cart,16.0,Magic Archer,62.0,Prince,79.0,Electro Wizard,24.0,,,,10,,,
04110,Cannon Cart,16.0,Magic Archer,62.0,Ram Rider,82.0,Electro Wizard,24.0,,,,5,,,
04125,Cannon Cart,16.0,Magic Archer,62.0,Ram Rider,82.0,Electro Wizard,24.0,,,,5,,,
04140,Cannon Cart,16.0,Magic Archer,62.0,Ram Rider,82.0,Electro Wizard,24.0,,,,6,,,
04155,Cannon Cart,16.0,Magic Archer,62.0,Ram Rider,82.0,Electro Wizard,24.0,,,,6,,,
04170,Cannon Cart,16.0,Magic Archer,62.0,Ram Rider,82.0,Electro Wizard,24.0,,,,6,,,
04185,Cannon Cart,16.0,Magic Archer,62.0,Ram Rider,82.0,Electro Wizard,24.0,,,,7,,,
04200,Cannon Cart,16.0,Magic Archer,62.0,Ram Rider,82.0,Electro Wizard,24.0,,,,7,,,
04215,Cannon Cart,16.0,Magic Archer,62.0,Ram Rider,82.0,Electro Wizard,24.0,,,,7,,,
04230,Cannon Cart,16.0,Magic Archer,62.0,Ram Rider,82.0,Electro Wizard,24.0,,,,8,,,
04245,Cannon Cart,16.0,Magic Archer,62.0,Ram Rider,82.0,Electro Wizard,24.0,,,,8,,,
04260,Cannon Cart,16.0,Magic Archer,62.0,Ram Rider,82.0,Electro Wizard,24.0,,,,8,,,
04275,Cannon Cart,16.0,Magic Archer,62.0,Ram Rider,82.0,Electro Wizard,24.0,,,,9,,,
04290,Cannon Cart,16.0,Magic Archer,62.0,Ram Rider,82.0,Electro Wizard,24.0,,,,9,,,
04305,Cannon Cart,16.0,Magic Archer,62.0,Ram Rider,82.0,Electro Wizard,24.0,,,,10,,,
04320,Cannon Cart,16.0,Magic Archer,62.0,Ram Rider,82.0,Electro Wizard,24.0,,,,10,,,
04335,Cannon Cart,16.0,Magic Archer,62.0,Ram Rider,82.0,Electro Wizard,24.0,,,,10,,,
04350,Cannon Cart,16.0,Magic Archer,62.0,Ram Rider,82.0,Electro Wizard,24.0,,,,10,,,
04365,Cannon Cart,16.0,Magic Archer,62.0,Null,75.0,Electro Wizard,24.0,,,,5,,,
04380,Null,75.0,,,,,,,,,,0,,,
04395,,,,,,,,,,,,0,,,
04410,,,,,,,,,,,,1,,,
04425,,,,,,,,,,,,1,,,
04440,,,,,,,,,,,,1,,,
04455,Barbarian Barrel,6.0,,,,,,,,,,2,,,
04470,Barbarian Barrel,6.0,,,,,,,,,,2,,,
04485,Barbarian Barrel,6.0,,,,,,,,,,2,,,
04500,Barbarian Barrel,6.0,,,Bandit,5.0,,,,,,3,,,
04515,Barbarian Barrel,6.0,,,Bandit,5.0,,,,,,3,,,
04530,Barbarian Barrel,6.0,Magic Archer,62.0,Bandit,5.0,Electro Wizard,24.0,,,,4,,,
