frame,card1Name,card1Label,card2Name,card2Label,card3Name,card3Label,card4Name,card4Label,cardPlayedName,cardPlayedLabel,slotPlayed,elixir,predicted_cardPlayed,y_cardPlayed,y_elixirConsumed
00225,Skeletons,93.0,Tesla,96.0,Archers,109.0,Fireball,30.0,,,,6,,,
00240,Skeletons,93.0,Tesla,96.0,Archers,109.0,Fireball,30.0,,,,6,,,
00255,Skeletons,93.0,Tesla,96.0,Archers,109.0,Fireball,30.0,,,,6,,,
00270,Skeletons,93.0,Tesla,96.0,Archers,109.0,Fireball,30.0,,,,6,,,
00285,Skeletons,93.0,Tesla,96.0,Archers,109.0,Fireball,30.0,,,,7,,,
00300,Skeletons,93.0,Tesla,96.0,Archers,109.0,Fireball,30.0,,,,7,,,
00315,Skeletons,93.0,Tesla,96.0,Archers,109.0,Fireball,30.0,,,,7,,,
00330,Skeletons,93.0,Tesla,96.0,Archers,109.0,Fireball,30.0,,,,7,,,
00345,Skeletons,93.0,Tesla,96.0,Archers,109.0,Fireball,30.0,,,,7,,,
00360,Skeletons,93.0,Tesla,96.0,Archers,109.0,Fireball,30.0,,,,8,,,
00375,Skeletons,93.0,Tesla,96.0,Archers,109.0,Fireball,30.0,,,,8,,,
00390,Skeletons,93.0,Tesla,96.0,Archers,109.0,Fireball,30.0,,,,8,,,
00405,Skeletons,93.0,Tesla,96.0,Archers,109.0,Fireball,30.0,,,,8,,,
00420,Skeletons,93.0,Tesla,96.0,Archers,109.0,Fireball,30.0,,,,8,,,
00435,Skeletons,93.0,Tesla,96.0,Archers,109.0,Fireball,30.0,,,,8,,,
00450,Skeletons,93.0,Tesla,96.0,Archers,109.0,Fireball,30.0,,,,9,,,
00465,Skeletons,93.0,Tesla,96.0,Archers,109.0,Fireball,30.0,,,,9,,,
00480,Skeletons,93.0,Tesla,96.0,Archers,109.0,Fireball,30.0,,,,9,,,
00495,Knight,58.0,Tesla,96.0,Archers,109.0,Fireball,30.0,,,,8,,,
00510,Knight,58.0,Tesla,96.0,Archers,109.0,Fireball,30.0,,,,8,,,
00525,Knight,58.0,Tesla,96.0,Archers,109.0,Fireball,30.0,,,,8,,,
00540,Knight,58.0,Tesla,96.0,Archers,109.0,Fireball,30.0,,,,9,,,
00555,Knight,58.0,Tesla,96.0,Archers,109.0,Fireball,30.0,,,,9,,,
00570,Knight,58.0,Tesla,96.0,X,105.0,Fireball,30.0,,,,6,,,
00585,Knight,58.0,Tesla,96.0,X,105.0,Fireball,30.0,,,,6,,,
00600,Knight,58.0,Tesla,96.0,X,105.0,Fireball,30.0,,,,6,,,
00615,Knight,58.0,Tesla,96.0,X,105.0,Fireball,30.0,,,,7,,,
00630,Knight,58.0,Tesla,96.0,X,105.0,Fireball,30.0,,,,7,,,
00645,Knight,58.0,Tesla,96.0,X,105.0,Fireball,30.0,,,,7,,,
00660,Knight,58.0,Tesla,96.0,X,105.0,Fireball,30.0,,,,7,,,
00675,Knight,58.0,Tesla,96.0,X,105.0,Fireball,30.0,,,,7,,,
00690,Knight,58.0,Tesla,96.0,X,105.0,Fireball,30.0,,,,7,,,
00705,Knight,58.0,Tesla,96.0,X,105.0,Fireball,30.0,,,,8,,,
00720,Knight,58.0,Tesla,96.0,X,105.0,Fireball,30.0,,,,8,,,
