frame,card1Name,card1Label,card2Name,card2Label,card3Name,card3Label,card4Name,card4Label,cardPlayedName,cardPlayedLabel,slotPlayed,elixir,predicted_cardPlayed,y_cardPlayed,y_elixirConsumed
00255,Tombstone,99.0,Bowler,14.0,Royal Recruits,88.0,Goblin Gang,42.0,,,,6,,,
00270,Tombstone,99.0,Bowler,14.0,Royal Recruits,88.0,Goblin Gang,42.0,,,,6,,,
00285,Tombstone,99.0,Bowler,14.0,Royal Recruits,88.0,Goblin Gang,42.0,,,,6,,,
00300,Tombstone,99.0,Bowler,14.0,Royal Recruits,88.0,Goblin Gang,42.0,,,,7,,,
00315,Tombstone,99.0,Bowler,14.0,Royal Recruits,88.0,Goblin Gang,42.0,,,,7,,,
00330,Tombstone,99.0,Bowler,14.0,Royal Recruits,88.0,Goblin Gang,42.0,,,,7,,,
00345,Tombstone,99.0,Bowler,14.0,Royal Recruits,88.0,Goblin Gang,42.0,,,,7,,,
00360,Tombstone,99.0,Bowler,14.0,Royal Recruits,88.0,Goblin Gang,42.0,,,,7,,,
00375,Tombstone,99.0,Bowler,14.0,Royal Recruits,88.0,Goblin Gang,42.0,,,,8,,,
00390,Tombstone,99.0,Bowler,14.0,Royal Recruits,88.0,Goblin Gang,42.0,,,,8,,,
00405,Tombstone,99.0,Electro Spirit,23.0,Royal Recruits,88.0,Goblin Gang,42.0,,,,8,,,
00420,Tombstone,99.0,Electro Spirit,23.0,Royal Recruits,88.0,Goblin Gang,42.0,,,,8,,,
00435,Tombstone,99.0,Electro Spirit,23.0,Royal Recruits,88.0,Goblin Gang,42.0,,,,8,,,
00450,Tombstone,99.0,Electro Spirit,23.0,Royal Recruits,88.0,Goblin Gang,42.0,,,,8,,,
00465,Tombstone,99.0,Electro Spirit,23.0,Royal Recruits,88.0,Goblin Gang,42.0,,,,9,,,
00480,Tombstone,99.0,Electro Spirit,23.0,Royal Recruits,88.0,Goblin Gang,42.0,,,,9,,,
00495,Tombstone,99.0,Electro Spirit,23.0,Royal Recruits,88.0,Goblin Gang,42.0,,,,9,,,
00510,Tombstone,99.0,Electro Spirit,23.0,Royal Recruits,88.0,Goblin Gang,42.0,,,,9,,,
00525,Tombstone,99.0,Electro Spirit,23.0,Royal Recruits,88.0,Goblin Gang,42.0,,,,9,,,
00540,Tombstone,99.0,Electro Spirit,23.0,Royal Recruits,88.0,Goblin Gang,42.0,,,,10,,,
00555,Tombstone,99.0,Electro Spirit,23.0,Royal Recruits,88.0,Goblin Gang,42.0,,,,10,,,
00570,Tombstone,99.0,Bowler,14.0,Royal Recruits,88.0,Goblins,45.0,,,,10,,,
00585,Tombstone,99.0,Bowler,14.0,Royal Recruits,88.0,Goblins,45.0,,,,10,,,
00600,Tombstone,99.0,Skeleton Dragons,91.0,Royal Recruits,88.0,Goblins,45.0,,,,9,,,
00615,Tombstone,99.0,Skeleton Dragons,91.0,Royal Recruits,88.0,Goblins,45.0,,,,9,,,
00630,Royal Delivery,84.0,Skeleton Dragons,91.0,Royal Recruits,88.0,Goblin Gang,42.0,,,,9,,,
00645,Skeletons,93.0,Skeleton Dragons,91.0,Royal Recruits,88.0,Skeleton Dragons,91.0,,,,6,,,
00660,Skeletons,93.0,Skeleton Dragons,91.0,Royal Recruits,88.0,Skeleton Dragons,91.0,,,,6,,,
00675,Skeletons,93.0,Skeleton Dragons,91.0,Royal Recruits,88.0,Skeleton Dragons,91.0,,,,7,,,
00690,Skeletons,93.0,Skeleton Dragons,91.0,Royal Recruits,88.0,Skeleton Dragons,91.0,,,,8,,,
00705,Skeletons,93.0,Skeleton Dragons,91.0,Royal Recruits,88.0,Skeleton Dragons,91.0,,,,8,,,
00720,Skeletons,93.0,Skeleton Dragons,91.0,Royal Recruits,88.0,Skeleton Dragons,91.0,,,,7,,,
00735,Skeletons,93.0,Skeleton Dragons,91.0,Royal Recruits,88.0,Skeleton Dragons,91.0,,,,7,,,
00750,Skeletons,93.0,Skeleton Dragons,91.0,Royal Recruits,88.0,Skeleton Dragons,91.0,,,,7,,,
00765,Skeletons,93.0,Skeleton Dragons,91.0,Royal Recruits,88.0,Skeleton Dragons,91.0,,,,8,,,
00780,Skeletons,93.0,Skeleton Dragons,91.0,Royal Recruits,88.0,Skeleton Dragons,91.0,,,,8,,,
00795,Skeletons,93.0,Skeleton Dragons,91.0,Royal Recruits,88.0,Skeleton Dragons,91.0,,,,8,,,
00810,Tombstone,99.0,Cannon,15.0,Royal Recruits,88.0,Skeleton Dragons,91.0,,,,8,,,
00825,Tombstone,99.0,Cannon,15.0,Royal Recruits,88.0,Skeleton Dragons,91.0,,,,8,,,
00840,Tombstone,99.0,Cannon,15.0,Royal Recruits,88.0,Skeleton Dragons,91.0,,,,9,,,
00855,Tombstone,99.0,Cannon,15.0,Royal Recruits,88.0,Skeleton Dragons,91.0,,,,9,,,
00870,Tombstone,99.0,Cannon,15.0,Royal Recruits,88.0,Skeleton Dragons,91.0,,,,9,,,
00885,Tombstone,99.0,Cannon,15.0,Royal Recruits,88.0,Skeleton Dragons,91.0,,,,9,,,
00900,Skeleton Dragons,91.0,Arrows,2.0,,,Skeleton Dragons,91.0,,,,3,,,
00915,,,Giant Snowball,38.0,,,Skeleton Dragons,91.0,,,,3,,,
00930,Zappies,107.0,Giant Snowball,38.0,,,Skeleton Dragons,91.0,,,,4,,,
00945,Tombstone,99.0,Giant Snowball,38.0,,,Skeleton Dragons,91.0,,,,4,,,
00960,Tombstone,99.0,Giant Snowball,38.0,,,Skeleton Dragons,91.0,,,,4,,,
00975,Tombstone,99.0,Giant Snowball,38.0,,,Skeleton Dragons,91.0,,,,4,,,
00990,Tombstone,99.0,Giant Snowball,38.0,,,Skeleton Dragons,91.0,,,,4,,,
01005,Tombstone,99.0,Giant Snowball,38.0,,,Skeleton Dragons,91.0,,,,5,,,
01020,Tombstone,99.0,Giant Snowball,38.0,,,Skeleton Dragons,91.0,,,,5,,,
01035,Tombstone,99.0,Giant Snowball,38.0,,,Skeleton Dragons,91.0,,,,5,,,
01050,Tombstone,99.0,Giant Snowball,38.0,,,Skeleton Dragons,91.0,,,,5,,,
01065,Tombstone,99.0,Giant Snowball,38.0,,,Skeleton Dragons,91.0,,,,5,,,
01080,Tombstone,99.0,Giant Snowball,38.0,,,Skeleton Dragons,91.0,,,,5,,,
01095,Tombstone,99.0,Giant Snowball,38.0,Royal Recruits,88.0,Skeleton Dragons,91.0,,,,6,,,
01110,Tombstone,99.0,Giant Snowball,38.0,Royal Recruits,88.0,Skeleton Dragons,91.0,,,,6,,,
01125,Tombstone,99.0,Giant Snowball,38.0,Royal Recruits,88.0,Skeleton Dragons,91.0,,,,6,,,
01140,Tombstone,99.0,Giant Snowball,38.0,Royal Recruits,88.0,Skeleton Dragons,91.0,,,,6,,,
01155,Tombstone,99.0,Giant Snowball,38.0,Royal Recruits,88.0,Skeleton Dragons,91.0,,,,6,,,
01170,Tombstone,99.0,Giant Snowball,38.0,Royal Recruits,88.0,Skeleton Dragons,91.0,,,,6,,,
01185,Tombstone,99.0,Giant Snowball,38.0,Royal Recruits,88.0,Skeleton Dragons,91.0,,,,7,,,
01200,Zappies,107.0,Giant Snowball,38.0,Royal Recruits,88.0,Skeleton Dragons,91.0,,,,8,,,
01215,Tombstone,99.0,Giant Snowball,38.0,Royal Recruits,88.0,Skeleton Dragons,91.0,,,,8,,,
01230,Tombstone,99.0,Giant Snowball,38.0,Royal Recruits,88.0,Skeleton Dragons,91.0,,,,7,,,
01245,Tombstone,99.0,Giant Snowball,38.0,Royal Recruits,88.0,Skeleton Dragons,91.0,,,,7,,,
01260,Tombstone,99.0,Giant Snowball,38.0,Royal Recruits,88.0,Skeleton Dragons,91.0,,,,8,,,
01275,Tombstone,99.0,Giant Snowball,38.0,Royal Recruits,88.0,Skeleton Dragons,91.0,,,,8,,,
01290,Tombstone,99.0,Giant Snowball,38.0,Royal Recruits,88.0,Skeleton Dragons,91.0,,,,8,,,
01305,Tombstone,99.0,Giant Snowball,38.0,Royal Recruits,88.0,Skeleton Dragons,91.0,,,,8,,,
01320,Tombstone,99.0,Giant Snowball,38.0,Royal Recruits,88.0,Skeleton Dragons,91.0,,,,8,,,
01335,Tombstone,99.0,Giant Snowball,38.0,Royal Recruits,88.0,Skeleton Dragons,91.0,,,,8,,,
01350,Tombstone,99.0,Giant Snowball,38.0,Royal Recruits,88.0,Skeleton Dragons,91.0,,,,9,,,
01365,Tombstone,99.0,Giant Snowball,38.0,Royal Recruits,88.0,Skeleton Dragons,91.0,,,,9,,,
01380,Tombstone,99.0,Giant Snowball,38.0,Royal Recruits,88.0,Skeleton Dragons,91.0,,,,9,,,
01395,Tombstone,99.0,Giant Snowball,38.0,Royal Recruits,88.0,Skeleton Dragons,91.0,,,,9,,,
01410,Tombstone,99.0,Giant Snowball,38.0,Royal Recruits,88.0,Skeleton Dragons,91.0,,,,9,,,
01425,Tombstone,99.0,Giant Snowball,38.0,Giant,36.0,Skeleton Dragons,91.0,,,,4,,,
01440,Tombstone,99.0,Giant Snowball,38.0,Royal Hogs,87.0,Skeleton Dragons,91.0,,,,4,,,
01455,Tombstone,99.0,Giant Snowball,38.0,Skeletons,93.0,Skeleton Dragons,91.0,,,,4,,,
01470,Tombstone,99.0,Giant Snowball,38.0,Skeletons,93.0,Skeleton Dragons,91.0,,,,4,,,
01485,Tombstone,99.0,Giant Snowball,38.0,Skeletons,93.0,Skeleton Dragons,91.0,,,,4,,,
01500,Tombstone,99.0,Giant Snowball,38.0,Skeletons,93.0,Skeleton Dragons,91.0,,,,4,,,
01515,Tombstone,99.0,Giant Snowball,38.0,Skeletons,93.0,Skeleton Dragons,91.0,,,,5,,,
01530,Zappies,107.0,Giant Snowball,38.0,Skeletons,93.0,Skeleton Dragons,91.0,,,,5,,,
01545,Zappies,107.0,Giant Snowball,38.0,Skeletons,93.0,Skeleton Dragons,91.0,,,,5,,,
01560,Zappies,107.0,Giant Snowball,38.0,Skeletons,93.0,Skeleton Dragons,91.0,,,,5,,,
01575,Zappies,107.0,Giant Snowball,38.0,Skeletons,93.0,Skeleton Dragons,91.0,,,,5,,,
01590,Zappies,107.0,Giant Snowball,38.0,Skeletons,93.0,Skeleton Dragons,91.0,,,,5,,,
01605,Tombstone,99.0,Giant Snowball,38.0,Skeletons,93.0,Skeleton Dragons,91.0,,,,6,,,
01620,Tombstone,99.0,Giant Snowball,38.0,Skeletons,93.0,Skeleton Dragons,91.0,,,,6,,,
01635,Tombstone,99.0,Giant Snowball,38.0,Skeletons,93.0,Skeleton Dragons,91.0,,,,6,,,
01650,Tombstone,99.0,Giant Snowball,38.0,Skeletons,93.0,Skeleton Dragons,91.0,,,,6,,,
01665,Tombstone,99.0,Giant Snowball,38.0,Skeletons,93.0,Skeleton Dragons,91.0,,,,6,,,
01680,Tombstone,99.0,Giant Snowball,38.0,Skeletons,93.0,Skeleton Dragons,91.0,,,,7,,,
01695,Tombstone,99.0,Giant Snowball,38.0,Skeletons,93.0,Skeleton Dragons,91.0,,,,8,,,
01710,Tombstone,99.0,Giant Snowball,38.0,Skeletons,93.0,Skeleton Dragons,91.0,,,,8,,,
01725,Tombstone,99.0,Giant Snowball,38.0,Skeletons,93.0,Skeleton Dragons,91.0,,,,8,,,
01740,Tombstone,99.0,Giant Snowball,38.0,Skeletons,93.0,Skeleton Dragons,91.0,,,,7,,,
