frame,card1Name,card1Label,card2Name,card2Label,card3Name,card3Label,card4Name,card4Label,cardPlayedName,cardPlayedLabel,slotPlayed,elixir,predicted_cardPlayed,y_cardPlayed,y_elixirConsumed,0,predicted_elixirConsumed
00240,Hunter,52.0,Fisherman,32.0,Barbarian Barrel,6.0,Heal Spirit,50.0,,,,6,False,False,,,
00255,Hunter,52.0,Fisherman,32.0,Barbarian Barrel,6.0,Heal Spirit,50.0,,,,6,False,False,,,
00270,Hunter,52.0,Fisherman,32.0,Barbarian Barrel,6.0,Heal Spirit,50.0,,,,7,False,False,,,
00285,Hunter,52.0,Fisherman,32.0,Barbarian Barrel,6.0,Heal Spirit,50.0,,,,7,False,False,,,
00300,Hunter,52.0,Fisherman,32.0,Barbarian Barrel,6.0,Heal Spirit,50.0,,,,7,False,False,,,
00315,Hunter,52.0,Fisherman,32.0,Barbarian Barrel,6.0,Heal Spirit,50.0,,,,7,False,False,,,
00330,Hunter,52.0,Fisherman,32.0,Barbarian Barrel,6.0,Heal Spirit,50.0,,,,7,False,False,,,
00345,Hunter,52.0,Fisherman,32.0,Barbarian Barrel,6.0,Heal Spirit,50.0,,,,7,False,False,,,
00360,Hunter,52.0,Fisherman,32.0,Barbarian Barrel,6.0,Heal Spirit,50.0,,,,8,False,False,,,
00375,Hunter,52.0,Fisherman,32.0,Barbarian Barrel,6.0,Heal Spirit,50.0,,,,8,False,False,,,
00390,Hunter,52.0,Fisherman,32.0,Barbarian Barrel,6.0,Heal Spirit,50.0,,,,8,False,False,,,
00405,Hunter,52.0,Fisherman,32.0,Barbarian Barrel,6.0,Heal Spirit,50.0,,,,8,False,False,,,
00420,Hunter,52.0,Fisherman,32.0,Barbarian Barrel,6.0,Heal Spirit,50.0,,,,8,False,False,,,
00435,Hunter,52.0,Fisherman,32.0,Barbarian Barrel,6.0,Heal Spirit,50.0,,,,8,False,False,,,
00450,Hunter,52.0,Fisherman,32.0,Barbarian Barrel,6.0,Heal Spirit,50.0,,,,9,False,False,,,
00465,Hunter,52.0,Fisherman,32.0,Barbarian Barrel,6.0,Heal Spirit,50.0,,,,9,False,False,,,
00480,Hunter,52.0,Fisherman,32.0,Barbarian Barrel,6.0,Heal Spirit,50.0,,,,9,False,False,,,
00495,Hunter,52.0,Fisherman,32.0,Barbarian Barrel,6.0,Heal Spirit,50.0,,,,9,False,False,,,
