frame,card1Name,card1Label,card2Name,card2Label,card3Name,card3Label,card4Name,card4Label,cardPlayedName,cardPlayedLabel,slotPlayed,elixir,predicted_cardPlayed,y_cardPlayed,y_elixirConsumed,0,predicted_elixirConsumed
00870,Guards,49.0,Miner,66.0,,,Zap,106.0,,,,8,False,False,,,
00885,Guards,49.0,Miner,66.0,,,Zap,106.0,,,,8,False,False,,,
00900,Guards,49.0,Miner,66.0,Three Musketeers,98.0,Zap,106.0,,,3.0,8,True,False,,,
00915,Guards,49.0,Miner,66.0,Three Musketeers,98.0,Zap,106.0,,,,8,False,False,,,
00930,Guards,49.0,Miner,66.0,Three Musketeers,98.0,Zap,106.0,,,,9,False,False,,,
00945,Guards,49.0,Miner,66.0,Three Musketeers,98.0,Zap,106.0,,,,9,False,False,,,
00960,Guards,49.0,Miner,66.0,Three Musketeers,98.0,Zap,106.0,,,,9,False,False,,,
00975,Guards,49.0,Miner,66.0,Three Musketeers,98.0,Minion Horde,68.0,Zap,106.0,4.0,7,True,True,,Zap,2.0
00990,Guards,49.0,Miner,66.0,Three Musketeers,98.0,Minion Horde,68.0,,,,7,False,False,,,
01005,Guards,49.0,Miner,66.0,Three Musketeers,98.0,Minion Horde,68.0,,,,7,False,False,,,
01020,Guards,49.0,Miner,66.0,Three Musketeers,98.0,Minion Horde,68.0,,,,8,False,False,,,
01035,Guards,49.0,Miner,66.0,Three Musketeers,98.0,Minion Horde,68.0,,,,8,False,False,,,
01050,Guards,49.0,Miner,66.0,Three Musketeers,98.0,Minion Horde,68.0,,,,8,False,False,,,
01065,Guards,49.0,Miner,66.0,Three Musketeers,98.0,Minion Horde,68.0,,,,8,False,False,,,
01080,Guards,49.0,Miner,66.0,Three Musketeers,98.0,Minion Horde,68.0,,,,8,False,False,,,
01095,Guards,49.0,Miner,66.0,Three Musketeers,98.0,Minion Horde,68.0,,,,9,False,False,,,
01110,Guards,49.0,Miner,66.0,Three Musketeers,98.0,Minion Horde,68.0,,,,9,False,False,,,
01125,Guards,49.0,Miner,66.0,Three Musketeers,98.0,Minion Horde,68.0,,,,9,False,False,,,
01140,Guards,49.0,Miner,66.0,Three Musketeers,98.0,Minion Horde,68.0,,,,9,False,False,,,
01155,Guards,49.0,Miner,66.0,Three Musketeers,98.0,Minion Horde,68.0,,,,9,False,False,,,
01170,Guards,49.0,Miner,66.0,Three Musketeers,98.0,Minion Horde,68.0,,,,9,False,False,,,
01185,Guards,49.0,Miner,66.0,Three Musketeers,98.0,Minion Horde,68.0,,,,10,False,False,,,
01200,Guards,49.0,Miner,66.0,Three Musketeers,98.0,Minion Horde,68.0,,,,10,False,False,,,
01215,Guards,49.0,Miner,66.0,Three Musketeers,98.0,Minion Horde,68.0,,,,10,False,False,,,
01230,Guards,49.0,Golden Knight,46.0,Three Musketeers,98.0,Minion Horde,68.0,Miner,66.0,2.0,7,True,True,,Miner,3.0
01245,Guards,49.0,Golden Knight,46.0,Three Musketeers,98.0,Minion Horde,68.0,,,,7,False,False,,,
01260,Guards,49.0,Golden Knight,46.0,Three Musketeers,98.0,Minion Horde,68.0,,,,7,False,False,,,
01275,Guards,49.0,Golden Knight,46.0,Three Musketeers,98.0,Minion Horde,68.0,,,,7,False,False,,,
