frame,card1Name,card1Label,card2Name,card2Label,card3Name,card3Label,card4Name,card4Label,cardPlayedName,cardPlayedLabel,slotPlayed,elixir,predicted_cardPlayed,y_cardPlayed,y_elixirConsumed
00225,X,105.0,Ice Spirit,54.0,Tesla,96.0,Fireball,30.0,,,,6,,,
00240,X,105.0,Ice Spirit,54.0,Tesla,96.0,Fireball,30.0,,,,6,,,
00255,X,105.0,Ice Spirit,54.0,Tesla,96.0,Fireball,30.0,,,,6,,,
00270,X,105.0,Ice Spirit,54.0,Tesla,96.0,Fireball,30.0,,,,6,,,
00285,X,105.0,Ice Spirit,54.0,Tesla,96.0,Fireball,30.0,,,,7,,,
00300,X,105.0,Ice Spirit,54.0,Tesla,96.0,Fireball,30.0,,,,7,,,
00315,X,105.0,Ice Spirit,54.0,Tesla,96.0,Fireball,30.0,,,,7,,,
00330,X,105.0,Ice Spirit,54.0,Tesla,96.0,Fireball,30.0,,,,7,,,
00345,X,105.0,Ice Spirit,54.0,Tesla,96.0,Fireball,30.0,,,,7,,,
00360,X,105.0,Ice Spirit,54.0,Tesla,96.0,Fireball,30.0,,,,8,,,
00375,X,105.0,Ice Spirit,54.0,Tesla,96.0,Fireball,30.0,,,,8,,,
00390,X,105.0,Ice Spirit,54.0,Tesla,96.0,Fireball,30.0,,,,8,,,
00405,X,105.0,Ice Spirit,54.0,Tesla,96.0,Fireball,30.0,,,,8,,,
00420,X,105.0,Ice Spirit,54.0,Tesla,96.0,Fireball,30.0,,,,8,,,
00435,X,105.0,Ice Spirit,54.0,Tesla,96.0,Fireball,30.0,,,,8,,,
00450,X,105.0,Ice Spirit,54.0,Tesla,96.0,Fireball,30.0,,,,9,,,
00465,X,105.0,Null,9999.0,Tesla,96.0,Fireball,30.0,,,,8,,,
00480,X,105.0,Skeletons,93.0,Tesla,96.0,Fireball,30.0,,,,8,,,
00495,X,105.0,Skeletons,93.0,Tesla,96.0,Fireball,30.0,,,,8,,,
00510,X,105.0,Skeletons,93.0,Tesla,96.0,Fireball,30.0,,,,8,,,
00525,X,105.0,Skeletons,93.0,Tesla,96.0,Fireball,30.0,,,,8,,,
00540,X,105.0,Skeletons,93.0,Tesla,96.0,Fireball,30.0,,,,9,,,
00555,X,105.0,Skeletons,93.0,Tesla,96.0,Fireball,30.0,,,,9,,,
00570,X,105.0,Skeletons,93.0,Tesla,96.0,Fireball,30.0,,,,9,,,
00585,X,105.0,Skeletons,93.0,Tesla,96.0,Fireball,30.0,,,,9,,,
00600,X,105.0,Skeletons,93.0,Tesla,96.0,Fireball,30.0,,,,9,,,
00615,X,105.0,The Log,97.0,Tesla,96.0,Fireball,30.0,,,,9,,,
00630,X,105.0,The Log,97.0,Tesla,96.0,Fireball,30.0,,,,9,,,
00645,X,105.0,The Log,97.0,Tesla,96.0,Fireball,30.0,,,,9,,,
00660,X,105.0,The Log,97.0,Tesla,96.0,Fireball,30.0,,,,9,,,
00675,X,105.0,The Log,97.0,Tesla,96.0,Fireball,30.0,,,,9,,,
00690,X,105.0,The Log,97.0,Tesla,96.0,Fireball,30.0,,,,9,,,
00705,X,105.0,The Log,97.0,Tesla,96.0,Fireball,30.0,,,,10,,,
00720,X,105.0,The Log,97.0,Tesla,96.0,Fireball,30.0,,,,10,,,
00735,X,105.0,Knight,58.0,Tesla,96.0,Fireball,30.0,,,,8,,,
00750,X,105.0,Knight,58.0,Tesla,96.0,Fireball,30.0,,,,8,,,
00765,X,105.0,Knight,58.0,Tesla,96.0,Fireball,30.0,,,,8,,,
00780,X,105.0,Knight,58.0,Tesla,96.0,Fireball,30.0,,,,8,,,
00795,X,105.0,Knight,58.0,Tesla,96.0,Fireball,30.0,,,,8,,,
00810,X,105.0,Knight,58.0,Tesla,96.0,Fireball,30.0,,,,9,,,
00825,X,105.0,Knight,58.0,Tesla,96.0,Fireball,30.0,,,,9,,,
00840,X,105.0,Knight,58.0,Tesla,96.0,Fireball,30.0,,,,9,,,
00855,X,105.0,Knight,58.0,Tesla,96.0,Fireball,30.0,,,,9,,,
00870,X,105.0,Knight,58.0,Tesla,96.0,Fireball,30.0,,,,9,,,
00885,X,105.0,Knight,58.0,Tesla,96.0,Fireball,30.0,,,,9,,,
00900,X,105.0,Knight,58.0,Tesla,96.0,Fireball,30.0,,,,10,,,
00915,X,105.0,Archers,109.0,Tesla,96.0,Fireball,30.0,,,,7,,,
00930,X,105.0,Archers,109.0,Tesla,96.0,Fireball,30.0,,,,7,,,
00945,X,105.0,Archers,109.0,Tesla,96.0,Fireball,30.0,,,,7,,,
00960,X,105.0,Archers,109.0,Tesla,96.0,Fireball,30.0,,,,7,,,
00975,X,105.0,Archers,109.0,Tesla,96.0,Fireball,30.0,,,,7,,,
00990,X,105.0,Archers,109.0,Tesla,96.0,Fireball,30.0,,,,8,,,
01005,X,105.0,Archers,109.0,Tesla,96.0,Fireball,30.0,,,,8,,,
01020,X,105.0,Archers,109.0,Tesla,96.0,Fireball,30.0,,,,8,,,
